,cost2,E SC2,SCR2,SSR2,SCR2 ewh,cost3,E SC3,SCR3,SCR3 ewh
39,9094.992337732972,23511.571026260535,90.25416726855606,25.91802046097456,15.111046014602902,9027.052191036435,24812.15901408503,95.24675094871418,20.008149650791587
40,9069.682145281933,24008.351268028662,89.85713481449366,26.45803802421393,14.833229777476175,9000.527532044736,25329.135288166966,94.80049250005213,19.670829780121675
41,9044.534504777765,24501.26791944141,89.46536205752058,26.997753199010187,14.564843933355961,8974.467264233095,25845.538599606363,94.37391060691374,19.354008763106332
42,9019.553424021005,24991.1509702224,89.08143181910575,27.52670323472467,14.306712194639001,8948.772711440886,26352.203048142645,93.93292777565335,19.032874285393962
43,8995.057301015457,25473.36712793671,88.68866556843176,28.04943274405686,14.05890451173477,8923.58413468396,26852.62890923162,93.49073536306167,18.757943456931073
44,8971.001169457755,25948.831431146267,88.29077917536337,28.581462265697056,13.817628637304441,8898.164367627422,27361.957972807326,93.09893571095539,18.49549170505033
45,8947.166257275288,26420.62782921466,87.89837392568059,29.111651174001402,13.584540231735012,8872.524256388255,27869.524957722693,92.71868714475634,18.250794163622658
46,8923.588481302018,26888.56547379039,87.51047122594645,29.629720982834495,13.360498185325568,8847.329430078924,28365.489936858296,92.31721169167278,18.00680598925622
47,8900.487769809008,27349.25472348122,87.11598660436756,30.138742320039892,13.144821643496138,8822.622673861048,28852.47606473932,91.90421983238333,17.803142778914065
48,8877.97097393328,27801.484901209704,86.71155538482186,30.654039533457706,12.934567347918216,8798.259472998092,29346.10320542983,91.52914898137703,17.61157584092848
49,8856.35925221607,28240.52374179061,86.28332804351496,31.165454119289258,12.731204927816062,8773.489055717522,29835.69692439774,91.15706382333099,17.436254338090567
50,8835.772170109343,28664.721377603448,85.82779232082459,31.671082435926085,12.533864041702985,8749.30591757526,30319.75126077376,90.78327607474958,17.333700576921338
51,8816.071695200219,29076.33981044533,85.35319466721766,32.175061599477765,12.341439821995674,8725.861156359024,30802.564647724852,90.42050387932062,17.2430709514071
52,8797.061867253586,29477.76379922853,84.86750061279412,32.673849394925966,12.153907695670767,8702.438731814012,31280.07556925915,90.05641847947173,17.150928929846103
53,8778.471653411167,29873.106759239687,84.38295747396221,33.18144709864293,11.972579725575498,8678.670636450917,31766.020593340534,89.7298960716828,17.09833078590533
54,8760.568027277084,30258.4592514033,83.88866276781792,33.676714373188595,11.796763623409834,8655.748057341218,32239.80756391681,89.38176005453197,17.040676054849367
55,8743.205335771783,30635.745218042535,83.39038536193235,34.17872817518968,11.626751348376066,8631.872255072292,32720.760485207054,89.06578922029722,16.97729868755555
56,8726.395285852626,31005.00137439763,82.8884367693481,34.677292784333105,11.462183775025519,8608.544201398665,33198.05774093188,88.75133004176043,16.939874749324
57,8709.894684890987,31369.80921778223,82.39241696893484,35.15872838972094,11.303049145797633,8586.252444608597,33658.956667662016,88.4048345097771,16.893425123526164
58,8694.037918986418,31725.520011527555,81.89001996415627,35.64679233941966,11.147878649137011,8563.631267105557,34126.20119231781,88.08666637849576,16.8093202650522
59,8678.839175117748,32072.379631754582,81.38219391903331,36.115916499130066,10.997403923135844,8542.957228204983,34575.313844755554,87.73327481255554,16.767418243968233
60,8664.749812736964,32404.242250623636,80.85387544162073,36.5596087880818,10.85074547093125,8522.626457717213,35000.07947797364,87.33091317709932,16.664443640027137
61,8651.705033447255,32722.233472599855,80.30883488130787,36.997215978603094,10.706896154171524,8503.4403225292,35418.63111504889,86.92649297066515,16.567529109398862
