SANTIAGO, -, CHL,,,,,
month,day,hour,Ta,G_Gh,G_Bn,G_Dh,FF
1,13,9,21,473,576,170,1.5
1,13,10,24,704,739,187,0.5
1,13,11,26.2,890,856,174,1
1,13,12,28,1018,940,143,4.6
1,13,13,29,1082,959,146,4.6
1,13,14,29.5,1067,947,150,4.1
1,13,15,30,976,910,150,5.7
1,13,16,30,814,783,187,6.7
1,13,17,28.3,600,595,213,5.1
1,13,18,29,395,510,155,5.7
1,13,19,27,168,214,109,5.1
1,13,20,25,19,0,19,4.6
1,13,21,23,0,0,0,4.1
1,13,22,21.2,0,0,0,2.8
1,13,23,19.4,0,0,0,1.5
1,13,24,18,0,0,0,1
1,14,1,16.5,0,0,0,1
1,14,2,15,0,0,0,1
1,14,3,14,0,0,0,0.5
1,14,4,14,0,0,0,0
1,14,5,13.4,0,0,0,0
1,14,6,12,1,0,1,1
1,14,7,12,46,12,44,1
1,14,8,17.3,230,253,147,0
1,14,9,21,470,566,172,1
1,14,10,24,699,778,157,1
1,14,11,26.5,888,855,174,1.2
1,14,12,29,1017,940,143,1.5
1,14,13,31,1080,958,146,3.1
1,14,14,32.1,1069,956,145,4.1
1,14,15,33,987,944,131,3.6
1,14,16,33,838,864,147,4.6
1,14,17,32.4,637,741,155,6.2
1,14,18,31,400,543,144,5.1
1,14,19,28,168,214,109,5.1
1,14,20,27,19,0,19,6.2
1,14,21,25,0,0,0,4.1
1,14,22,22,0,0,0,2.6
1,14,23,21.5,0,0,0,2.1
1,14,24,20,0,0,0,0.5
1,15,1,18,0,0,0,0.5
1,15,2,16.2,0,0,0,0
1,15,3,16,0,0,0,1
1,15,4,15.2,0,0,0,0.7
1,15,5,14.4,0,0,0,0.5
1,15,6,13,0,0,0,1
1,15,7,15.4,44,7,43,1
1,15,8,17.8,227,248,145,1
1,15,9,23,466,560,173,0.5
1,15,10,26,696,776,157,0.5
1,15,11,28.4,883,876,153,2.1
1,15,12,31,1011,928,149,3.4
1,15,13,33,1076,945,156,4.6
1,15,14,32.6,1068,954,145,6.7
1,15,15,32,980,919,146,7.7
1,15,16,31,835,877,134,7.7
1,15,17,30,632,743,148,6.7
1,15,18,28,399,538,146,5.7
1,15,19,26,167,211,109,5.7
1,15,20,24.2,18,0,18,4.1
1,15,21,21,0,0,0,5.1
1,15,22,19,0,0,0,3.6
1,15,23,17.4,0,0,0,3.6
1,15,24,16,0,0,0,2.1
1,16,1,15,0,0,0,2.6
1,16,2,14.6,0,0,0,2.1
1,16,3,13.8,0,0,0,1.3
1,16,4,13,0,0,0,0.5
1,16,5,12.8,0,0,0,0
1,16,6,12,0,0,0,0
1,16,7,13,42,5,42,0
1,16,8,15.4,223,280,132,1
1,16,9,19,462,554,174,1
1,16,10,21,690,764,161,2.1
1,16,11,24,880,872,154,4.1
1,16,12,25,1009,927,149,5.7
1,16,13,27.6,1070,930,164,4.1
1,16,14,27.6,1060,929,162,4.1
1,16,15,28,981,923,144,5.1
1,16,16,28,834,855,151,5.7
1,16,17,27,632,744,148,4.6
1,16,18,26,397,532,147,4.6
1,16,19,24,166,208,109,4.1
1,16,20,22.4,18,0,18,4.1
1,16,21,19,0,0,0,3.6
1,16,22,18,0,0,0,3.1
1,16,23,17,0,0,0,2.6
1,16,24,16,0,0,0,2.1
1,17,1,15,0,0,0,2.1
1,17,2,14,0,0,0,2.1
1,17,3,14,0,0,0,0.5
1,17,4,14,0,0,0,0.5
1,17,5,12.8,0,0,0,1
1,17,6,12.9,0,0,0,0.5
1,17,7,13,40,0,40,0
