SANTIAGO, -, CHL,,,,,
month,day,hour,Ta,G_Gh,G_Bn,G_Dh,FF
6,30,22,7.9,0,0,0,0.5
6,30,23,6.5,0,0,0,0.5
6,30,24,5.3,0,0,0,0
7,1,1,4.5,0,0,0,0
7,1,2,4.2,0,0,0,0
7,1,3,4,0,0,0,0
7,1,4,4,0,0,0,0
7,1,5,3.9,0,0,0,0
7,1,6,3.6,0,0,0,0
7,1,7,3,0,0,0,0
7,1,8,3.8,0,0,0,0
7,1,9,4,14,0,14,0
7,1,10,5.9,58,0,58,0
7,1,11,7.8,102,0,102,1.5
7,1,12,9,134,0,134,2.6
7,1,13,10,149,0,149,1.5
7,1,14,11.4,144,0,144,2.1
7,1,15,11,122,0,122,0
7,1,16,10,83,0,83,0
7,1,17,10.3,37,0,37,3.1
7,1,18,10,5,0,5,0
7,1,19,9,0,0,0,1
7,1,20,9.1,0,0,0,3.1
7,1,21,8.9,0,0,0,2.1
7,1,22,8.8,0,0,0,1
7,1,23,8.6,0,0,0,0
7,1,24,8.3,0,0,0,0
7,2,1,8,0,0,0,2.6
7,2,2,8.4,0,0,0,2.1
7,2,3,8,0,0,0,1
7,2,4,8,0,0,0,3.1
7,2,5,8.2,0,0,0,0
7,2,6,8,0,0,0,0
7,2,7,6,0,0,0,0
7,2,8,6.8,0,0,0,1
7,2,9,7,26,0,26,1
7,2,10,9,109,15,105,0
7,2,11,11.2,193,13,188,1
7,2,12,14,254,56,225,0
7,2,13,15,280,48,253,1
7,2,14,16.6,273,48,247,0
7,2,15,16,230,43,210,1.5
7,2,16,16,158,19,151,4.6
7,2,17,14.4,70,0,70,3.1
7,2,18,14,8,0,8,1.5
7,2,19,13,0,0,0,2.1
7,2,20,11.6,0,0,0,1.5
7,2,21,11.2,0,0,0,1
7,2,22,10.7,0,0,0,0.5
7,2,23,10.3,0,0,0,0
7,2,24,10.1,0,0,0,0
7,3,1,10,0,0,0,0
7,3,2,9.8,0,0,0,0
7,3,3,10,0,0,0,1
7,3,4,10,0,0,0,0
7,3,5,10,0,0,0,0
7,3,6,10,0,0,0,2.6
7,3,7,10,0,0,0,2.1
7,3,8,10,0,0,0,3.6
7,3,9,10,14,0,14,2.1
7,3,10,10,58,0,58,0
7,3,11,11.1,102,0,102,3.1
7,3,12,12,134,0,134,1
7,3,13,12,148,0,148,0.5
7,3,14,12.1,144,0,144,0
7,3,15,12,122,0,122,0
7,3,16,13,84,0,84,1
7,3,17,12.5,37,0,37,1.5
7,3,18,12,5,0,5,1
7,3,19,12,0,0,0,1
7,3,20,10.9,0,0,0,0
7,3,21,11,0,0,0,0
7,3,22,11,0,0,0,0
7,3,23,11.2,0,0,0,3.1
7,3,24,11,0,0,0,1.5
7,4,1,11,0,0,0,1.5
7,4,2,9.2,0,0,0,5.1
7,4,3,6,0,0,0,2.1
7,4,4,7.1,0,0,0,2.1
7,4,5,8.2,0,0,0,2.1
7,4,6,8,0,0,0,5.1
7,4,7,7,0,0,0,4.6
7,4,8,6.4,0,0,0,5.1
7,4,9,6.2,19,0,19,3.9
7,4,10,6,95,0,95,2.6
7,4,11,6.5,195,47,175,1.5
7,4,12,8,255,57,226,1
7,4,13,9,284,50,256,1
7,4,14,9.2,276,49,249,2.1
7,4,15,11,327,242,212,3.1
7,4,16,10,262,372,125,2.6
7,4,17,9.4,125,231,74,2.6
7,4,18,8,14,0,14,2.1
7,4,19,6.5,0,0,0,1
7,4,20,5,0,0,0,0
7,4,21,4,0,0,0,0
7,4,22,4,0,0,0,0
7,4,23,3.8,0,0,0,0
7,4,24,3,0,0,0,0
7,5,1,0,0,0,0,0
7,5,2,-0.2,0,0,0,0
7,5,3,-0.1,0,0,0,0
7,5,4,0,0,0,0,0
7,5,5,-1.6,0,0,0,0
7,5,6,-1.1,0,0,0,0
7,5,7,-0.7,0,0,0,0
7,5,8,-0.2,1,0,1,0
7,5,9,1,46,36,42,2.6
7,5,10,1.4,164,161,118,1.5
7,5,11,1.8,104,0,104,0
7,5,12,2,380,121,318,0
7,5,13,5,495,610,158,1
7,5,14,8.6,489,715,101,0
7,5,15,9,415,664,97,0
7,5,16,11,283,467,110,0
7,5,17,11.3,122,160,86,1
7,5,18,9,14,0,14,1
7,5,19,7,0,0,0,1
7,5,20,5.7,0,0,0,1.5
7,5,21,5,0,0,0,0
7,5,22,2,0,0,0,0
7,5,23,2,0,0,0,0
7,5,24,3,0,0,0,0
7,6,1,2,0,0,0,0
7,6,2,1.3,0,0,0,0
7,6,3,1,0,0,0,0
7,6,4,0.2,0,0,0,0.5
7,6,5,-0.5,0,0,0,1
7,6,6,-0.6,0,0,0,1
7,6,7,-0.8,0,0,0,1.5
7,6,8,-0.9,0,0,0,1
7,6,9,1,38,0,38,1
7,6,10,4,137,76,116,1
7,6,11,7.6,197,13,191,1
7,6,12,11,257,57,228,2.1
7,6,13,13,285,50,257,0
7,6,14,15.6,278,49,251,1
7,6,15,17,235,45,214,1
7,6,16,16,162,20,155,2.1
7,6,17,15.2,74,0,73,3.1
7,6,18,13.1,12,0,12,3.6
7,6,19,11.1,0,0,0,2.5
7,6,20,9,0,0,0,1.5
7,6,21,9,0,0,0,1
7,6,22,7,0,0,0,3.1
7,6,23,7.6,0,0,0,4.6
7,6,24,8,0,0,0,2.1
7,7,1,7,0,0,0,1
7,7,2,5.2,0,0,0,1
7,7,3,5,0,0,0,1
7,7,4,5.4,0,0,0,1.2
7,7,5,5.8,0,0,0,1.5
7,7,6,4,0,0,0,2.1
7,7,7,3.4,0,0,0,1.5
7,7,8,2.8,1,0,1,1
7,7,9,3,43,22,40,0
7,7,10,4,138,94,111,0
7,7,11,6.2,104,0,104,1
7,7,12,8,181,9,177,1
7,7,13,9,246,9,241,0
7,7,14,10.7,278,71,239,0
7,7,15,11,236,44,215,0
7,7,16,11,164,20,156,0
7,7,17,11.2,75,1,74,1.5
7,7,18,10,7,0,7,0
7,7,19,10,0,0,0,0
7,7,20,9.2,0,0,0,0
7,7,21,9,0,0,0,0
7,7,22,8.6,0,0,0,0
7,7,23,8.2,0,0,0,0
7,7,24,8.6,0,0,0,0
7,8,1,9,0,0,0,0
7,8,2,9.2,0,0,0,0
7,8,3,8.6,0,0,0,1
7,8,4,8,0,0,0,2.1
7,8,5,9,0,0,0,3.6
7,8,6,10,0,0,0,5.1
7,8,7,9.7,0,0,0,4.6
7,8,8,9.4,0,0,0,5.1
7,8,9,8,27,0,27,5.1
7,8,10,8,112,16,108,4.1
7,8,11,7.6,197,13,191,2.1
7,8,12,8,258,57,229,4.1
7,8,13,9,287,50,259,4.1
7,8,14,9.1,280,50,253,2.1
7,8,15,11,266,106,215,3.1
7,8,16,11,203,99,166,1
7,8,17,18.1,100,78,83,3.1
7,8,18,8,15,0,15,1
7,8,19,8,0,0,0,0
7,8,20,5.4,0,0,0,1
7,8,21,5,0,0,0,1
7,8,22,4,0,0,0,0
7,8,23,2.5,0,0,0,0
7,8,24,0,0,0,0,0
7,9,1,1,0,0,0,0
7,9,2,0,0,0,0,0
7,9,3,-0.5,0,0,0,0
7,9,4,-1,0,0,0,0
7,9,5,-1,0,0,0,0
7,9,6,1,0,0,0,0
7,9,7,-1,0,0,0,0
7,9,8,-1.3,1,0,1,0
7,9,9,0.5,49,42,44,1.5
7,9,10,2.3,194,340,95,1.5
7,9,11,4.2,305,324,167,1.5
7,9,12,6,432,533,156,0
7,9,13,8,499,646,138,0.5
7,9,14,10.1,494,710,104,1
7,9,15,11,416,636,107,1.5
7,9,16,11,285,451,115,0
7,9,17,10.3,128,169,89,0
7,9,18,9,15,0,15,0
7,9,19,8,0,0,0,0
7,9,20,6.6,0,0,0,0
7,9,21,6,0,0,0,0
7,9,22,5.7,0,0,0,0
7,9,23,5.3,0,0,0,0
7,9,24,5,0,0,0,0
7,10,1,6,0,0,0,0
7,10,2,3.8,0,0,0,0
7,10,3,10,0,0,0,0
7,10,4,3,0,0,0,2.1
7,10,5,3.2,0,0,0,0
7,10,6,3,0,0,0,0
7,10,7,3,0,0,0,0
7,10,8,2.4,1,0,1,0
7,10,9,3,47,37,42,0
7,10,10,5,196,279,115,2.1
7,10,11,9,349,529,123,2.6
7,10,12,12,457,678,106,2.1
7,10,13,14,508,719,105,0
7,10,14,16,496,711,104,1.5
7,10,15,17,422,653,103,1.8
7,10,16,17,293,483,111,2.1
7,10,17,16,137,257,78,2.1
7,10,18,12,16,0,16,2.6
7,10,19,11,0,0,0,2.6
7,10,20,10,0,0,0,2.6
7,10,21,9,0,0,0,0
7,10,22,7,0,0,0,1
7,10,23,5,0,0,0,2.1
7,10,24,5,0,0,0,1.5
7,11,1,3,0,0,0,2.1
7,11,2,4.2,0,0,0,1.5
7,11,3,3.4,0,0,0,1
7,11,4,2.6,0,0,0,0.5
7,11,5,1.8,0,0,0,0
7,11,6,1,0,0,0,0
7,11,7,1,0,0,0,0
7,11,8,0.9,1,0,1,0
7,11,9,3,50,52,43,1
7,11,10,6,201,297,114,1
7,11,11,10,352,549,117,1
7,11,12,13,457,670,108,1.5
7,11,13,16,489,630,134,0
7,11,14,17.6,434,422,201,0
7,11,15,19,338,288,197,0
7,11,16,19,207,127,158,0
7,11,17,18.3,79,3,78,0
7,11,18,16.3,13,0,13,0.3
7,11,19,14.4,0,0,0,0.7
7,11,20,12.4,0,0,0,1
7,11,21,11.1,0,0,0,1
7,11,22,9.7,0,0,0,1
7,11,23,8.4,0,0,0,1
7,11,24,7.9,0,0,0,0.7
7,12,1,7.3,0,0,0,0.3
7,12,2,6.8,0,0,0,0
7,12,3,6,0,0,0,0.2
7,12,4,5.3,0,0,0,0.3
7,12,5,4.5,0,0,0,0.5
7,12,6,3.7,0,0,0,0.7
7,12,7,3,0,0,0,0.8
7,12,8,2.2,1,0,1,1
7,12,9,1,48,33,44,0
7,12,10,4,199,283,116,0
7,12,11,9.9,351,529,124,0
7,12,12,6,461,682,106,0
7,12,13,15,510,711,109,1.5
7,12,14,16.7,496,713,101,1.5
7,12,15,17,423,647,105,2.6
7,12,16,17,297,481,112,2.1
7,12,17,16,139,245,82,2.1
7,12,18,13,17,0,17,3.1
7,12,19,11,0,0,0,2.1
7,12,20,9.6,0,0,0,3.6
7,12,21,9,0,0,0,3.1
7,12,22,8,0,0,0,4.1
7,12,23,8.6,0,0,0,3.6
7,12,24,8.5,0,0,0,1
7,13,1,8.3,0,0,0,0.5
7,13,2,8.2,0,0,0,0
7,13,3,9,0,0,0,0
7,13,4,8,0,0,0,1
7,13,5,7.6,0,0,0,0
7,13,6,7,0,0,0,0
7,13,7,7,0,0,0,0
7,13,8,7.4,0,0,0,0
7,13,9,7,15,0,15,1
7,13,10,7,61,0,61,0.5
7,13,11,7,107,0,107,0
7,13,12,7,139,0,139,0
7,13,13,7.8,155,0,155,2.6
7,13,14,8.6,151,0,151,2.1
7,13,15,9,129,0,129,0
7,13,16,9,90,0,90,1
7,13,17,9,43,0,43,1.5
7,13,18,9,5,0,5,5.1
7,13,19,9,0,0,0,1
7,13,20,8.8,0,0,0,0
7,13,21,9,0,0,0,3.1
7,13,22,8.7,0,0,0,3.1
7,13,23,8.4,0,0,0,3.1
7,13,24,8,0,0,0,2.6
7,14,1,8,0,0,0,2.1
7,14,2,7.6,0,0,0,1
7,14,3,8,0,0,0,1
7,14,4,7,0,0,0,0
7,14,5,7,0,0,0,2.1
7,14,6,6.5,0,0,0,1
7,14,7,6,0,0,0,1
7,14,8,6.2,0,0,0,2.1
7,14,9,6.2,16,0,16,1.4
7,14,10,6.1,62,0,62,0.7
7,14,11,6.1,107,0,107,0
7,14,12,7.5,392,121,328,0.7
7,14,13,9,512,614,163,1.5
7,14,14,14.2,506,720,104,1.5
7,14,15,17,432,664,103,1.5
7,14,16,18,304,500,111,0
7,14,17,18.3,145,274,80,0
7,14,18,16,18,0,18,2.6
7,14,19,14,0,0,0,2.1
7,14,20,11.4,0,0,0,2.6
7,14,21,11,0,0,0,2.1
7,14,22,10,0,0,0,1.5
7,14,23,9.8,0,0,0,2.1
7,14,24,9,0,0,0,1
7,15,1,8,0,0,0,0
7,15,2,7.9,0,0,0,0
7,15,3,8,0,0,0,0
7,15,4,8,0,0,0,2.1
7,15,5,7.8,0,0,0,1
7,15,6,8,0,0,0,2.1
7,15,7,7.7,0,0,0,1.8
7,15,8,7.5,1,0,1,1.5
7,15,9,7,42,9,41,0
7,15,10,9,144,66,125,2.1
7,15,11,8.4,204,14,198,5.1
7,15,12,9,229,8,225,6.2
7,15,13,11,208,3,206,5.1
7,15,14,10.5,153,0,153,4.1
7,15,15,10,174,2,173,5.1
7,15,16,10,150,5,148,2.1
7,15,17,10.3,83,4,82,1
7,15,18,10,11,0,11,0
7,15,19,9,0,0,0,1
7,15,20,8,0,0,0,0
7,15,21,9,0,0,0,0
7,15,22,9,0,0,0,1
7,15,23,9,0,0,0,0
7,15,24,9,0,0,0,0
7,16,1,9,0,0,0,1.5
7,16,2,8.8,0,0,0,1
7,16,3,8,0,0,0,2.1
7,16,4,8,0,0,0,2.1
7,16,5,8,0,0,0,2.6
7,16,6,8,0,0,0,1.5
7,16,7,8,0,0,0,1.5
7,16,8,7.2,1,0,1,1.5
7,16,9,7,53,56,46,0
7,16,10,9,197,316,102,1
7,16,11,10.8,315,325,173,3.1
7,16,12,11,395,328,222,2.1
7,16,13,12,418,335,227,0
7,16,14,13.8,385,221,260,1.5
7,16,15,6,306,158,227,1.5
7,16,16,6,197,85,164,2.1
7,16,17,13.8,85,6,83,2.1
7,16,18,13,15,0,15,2.1
7,16,19,11.8,0,0,0,2.1
7,16,20,10.6,0,0,0,2.1
7,16,21,10,0,0,0,1.5
7,16,22,9,0,0,0,1.5
7,16,23,9.1,0,0,0,1
7,16,24,7,0,0,0,0
7,17,1,6,0,0,0,0
7,17,2,5.5,0,0,0,0
7,17,3,5.7,0,0,0,0
7,17,4,6,0,0,0,0
7,17,5,5.7,0,0,0,0
7,17,6,5,0,0,0,0
7,17,7,4.4,0,0,0,0
7,17,8,3.9,1,0,1,0
7,17,9,5,42,0,42,2.1
7,17,10,7,120,17,115,0
7,17,11,8.1,109,0,109,2.6
7,17,12,11,269,81,226,0
7,17,13,14,395,253,250,1.5
7,17,14,15.2,449,415,215,3.1
7,17,15,15,353,300,202,3.6
7,17,16,14,218,135,165,4.6
7,17,17,13,86,6,84,4.1
7,17,18,12,11,0,11,3.6
7,17,19,11,0,0,0,3.1
7,17,20,10.1,0,0,0,2.1
7,17,21,10.1,0,0,0,2.1
7,17,22,10,0,0,0,0.5
7,17,23,9.2,0,0,0,2.1
7,17,24,8,0,0,0,2.1
7,18,1,8,0,0,0,1.5
7,18,2,7.8,0,0,0,1.5
7,18,3,8,0,0,0,2.1
7,18,4,7,0,0,0,1.5
7,18,5,8.9,0,0,0,0
7,18,6,9,0,0,0,1
7,18,7,8,0,0,0,0
7,18,8,8,0,0,0,0.5
7,18,9,8.5,27,0,27,0.7
7,18,10,9,112,10,109,1
7,18,11,11,207,14,201,1.5
7,18,12,12,358,248,226,1
7,18,13,14,461,415,221,1
7,18,14,14.4,488,583,157,1.5
7,18,15,15,432,624,116,1
7,18,16,15,311,515,107,1.5
7,18,17,15,153,289,82,1
7,18,18,13,20,0,20,1
7,18,19,11,0,0,0,1
7,18,20,9.4,0,0,0,1
7,18,21,9,0,0,0,0
7,18,22,7,0,0,0,2.1
7,18,23,5,0,0,0,3.1
7,18,24,5,0,0,0,2.6
7,19,1,4.5,0,0,0,2.1
7,19,2,4,0,0,0,0.5
7,19,3,4,0,0,0,1.5
7,19,4,3,0,0,0,0
7,19,5,0,0,0,0,1.5
7,19,6,-0.3,0,0,0,2.1
7,19,7,-0.5,0,0,0,0.5
7,19,8,-0.8,0,0,0,0
7,19,9,0,49,19,46,0
7,19,10,5,213,307,120,0
7,19,11,9.1,370,574,116,0
7,19,12,12,482,708,103,0
7,19,13,15,533,754,96,0
7,19,14,17.6,522,733,104,0
7,19,15,18,447,683,100,0
7,19,16,20,319,520,111,0
7,19,17,19.4,156,297,82,1.5
7,19,18,17,21,0,21,0
7,19,19,13,0,0,0,1.5
7,19,20,8.6,0,0,0,1
7,19,21,8,0,0,0,1
7,19,22,6,0,0,0,1.5
7,19,23,4.4,0,0,0,1.5
7,19,24,4,0,0,0,0.5
7,20,1,4,0,0,0,0.5
7,20,2,3.8,0,0,0,1.5
7,20,3,2,0,0,0,0
7,20,4,1,0,0,0,1
7,20,5,-0.3,0,0,0,0
7,20,6,-0.5,0,0,0,1.5
7,20,7,-0.8,0,0,0,0.7
7,20,8,-1,1,0,1,0
7,20,9,2.5,58,54,50,1
7,20,10,6,210,353,101,2.1
7,20,11,10.4,352,479,139,0.5
7,20,12,13.7,437,437,202,1
7,20,13,17,453,397,222,1.5
7,20,14,18.5,397,266,245,1
7,20,15,19,342,207,236,0.5
7,20,16,20,243,147,184,0.5
7,20,17,17.5,120,68,103,2.1
7,20,18,15,19,0,19,2.6
7,20,19,12,0,0,0,2.6
7,20,20,10.2,0,0,0,0.5
7,20,21,8,0,0,0,2.6
7,20,22,8,0,0,0,2.6
7,20,23,5,0,0,0,2.6
7,20,24,5,0,0,0,2.1
7,21,1,6,0,0,0,2.6
7,21,2,6.4,0,0,0,3.1
7,21,3,6.7,0,0,0,2
7,21,4,7,0,0,0,1
7,21,5,4.9,0,0,0,2.1
7,21,6,5,0,0,0,2.6
7,21,7,5,0,0,0,2.1
7,21,8,4.8,0,0,0,2.6
7,21,9,4,18,0,18,1.5
7,21,10,4,66,0,66,1.5
7,21,11,5,113,0,113,0
7,21,12,6,238,31,221,1
7,21,13,9,344,138,263,0
7,21,14,11.6,397,257,250,4.1
7,21,15,13,289,118,228,5.1
7,21,16,12,159,19,151,4.4
7,21,17,10.8,48,0,48,3.6
7,21,18,9,7,0,7,2.6
7,21,19,9,0,0,0,2.1
7,21,20,8.3,0,0,0,1.5
7,21,21,8,0,0,0,1.5
7,21,22,8.1,0,0,0,1.2
7,21,23,8.3,0,0,0,1
7,21,24,8,0,0,0,1.5
7,22,1,7.6,0,0,0,1.2
7,22,2,7.2,0,0,0,1
7,22,3,7,0,0,0,0
7,22,4,7,0,0,0,1.5
7,22,5,6.3,0,0,0,1.5
7,22,6,5.6,0,0,0,0.7
7,22,7,5,0,0,0,0
7,22,8,4.4,0,0,0,0
7,22,9,5,18,0,18,1.5
7,22,10,8,66,0,66,3.1
7,22,11,9.6,113,0,113,2.6
7,22,12,10,147,0,147,2.6
7,22,13,11,163,0,163,1
7,22,14,12,159,0,159,0.5
7,22,15,12,137,0,137,1.5
7,22,16,11,98,0,98,0.5
7,22,17,11.4,49,0,49,1
7,22,18,10.7,7,0,7,0.5
7,22,19,10,0,0,0,0
7,22,20,9.4,0,0,0,0
7,22,21,9,0,0,0,1
7,22,22,9,0,0,0,3.1
7,22,23,7.8,0,0,0,1
7,22,24,6,0,0,0,2.6
7,23,1,6,0,0,0,1.5
7,23,2,4.2,0,0,0,0.5
7,23,3,3,0,0,0,2.1
7,23,4,4,0,0,0,2.1
7,23,5,5.4,0,0,0,1.5
7,23,6,4.7,0,0,0,1.5
7,23,7,4,0,0,0,1.5
7,23,8,4.6,0,0,0,0
7,23,9,4,19,0,19,1
7,23,10,4.8,67,0,67,1
7,23,11,5.6,114,0,114,1
7,23,12,7.8,413,125,345,0.5
7,23,13,10,539,651,155,0
7,23,14,11.8,535,758,95,0
7,23,15,12.9,460,692,101,1.5
7,23,16,14,330,530,113,3.1
7,23,17,13.5,165,311,85,3.6
7,23,18,11.8,23,0,23,2.7
7,23,19,10.1,0,0,0,1.9
7,23,20,8.4,0,0,0,1
7,23,21,6.7,0,0,0,0.5
7,23,22,5,0,0,0,0
7,23,23,4.9,0,0,0,0.5
7,23,24,3.4,0,0,0,1
7,24,1,2,0,0,0,1.5
7,24,2,2,0,0,0,0.7
7,24,3,2,0,0,0,0
7,24,4,1.8,0,0,0,0.5
7,24,5,1.7,0,0,0,1
7,24,6,1.5,0,0,0,0.7
7,24,7,1.2,0,0,0,0.3
7,24,8,1,2,0,2,0
7,24,9,2,54,31,50,0
7,24,10,3,145,50,130,0
7,24,11,5.6,115,0,115,0
7,24,12,6,149,0,149,0
7,24,13,10,165,0,165,0
7,24,14,10.5,162,0,162,0.5
7,24,15,12,185,3,184,0
7,24,16,6,163,6,161,1
7,24,17,11.6,95,9,93,1
7,24,18,6,13,0,13,1.5
7,24,19,10,0,0,0,2.1
7,24,20,7.6,0,0,0,1.5
7,24,21,8,0,0,0,1
7,24,22,7,0,0,0,2.1
7,24,23,7.5,0,0,0,1.8
7,24,24,8,0,0,0,1.5
7,25,1,8,0,0,0,0
7,25,2,7.2,0,0,0,0
7,25,3,7,0,0,0,0
7,25,4,7,0,0,0,0
7,25,5,6.6,0,0,0,0
7,25,6,7,0,0,0,0
7,25,7,6.9,0,0,0,0
7,25,8,6.8,1,0,1,0
7,25,9,7,20,0,20,1
7,25,10,8,69,0,69,1
7,25,11,8.4,116,0,116,1.5
7,25,12,9,150,0,150,2.6
7,25,13,9,166,0,166,0
7,25,14,9.6,163,0,163,2.6
7,25,15,10,140,0,140,1.5
7,25,16,10,101,0,101,1
7,25,17,10.1,51,0,51,1.5
7,25,18,10,12,0,12,1.5
7,25,19,8.5,0,0,0,1.2
7,25,20,7,0,0,0,1
7,25,21,7,0,0,0,1.5
7,25,22,7,0,0,0,1.5
7,25,23,4.4,0,0,0,1.5
7,25,24,3.5,0,0,0,1.2
7,26,1,2.5,0,0,0,0.8
7,26,2,1.6,0,0,0,0.5
7,26,3,2,0,0,0,1
7,26,4,2,0,0,0,0
7,26,5,-0.2,0,0,0,0
7,26,6,0,0,0,0,0
7,26,7,0.3,0,0,0,0
7,26,8,0.5,1,0,1,0
7,26,9,1,27,0,27,0
7,26,10,2,114,6,112,0
7,26,11,5,222,67,192,1
7,26,12,7,321,118,256,0.5
7,26,13,10,388,158,293,0
7,26,14,12.3,410,208,288,0
7,26,15,13,330,164,243,1.5
7,26,16,13,217,92,178,2.1
7,26,17,12.9,98,11,95,2.6
7,26,18,12,18,0,18,2.1
7,26,19,10,0,0,0,1.5
7,26,20,9.8,0,0,0,2.1
7,26,21,8,0,0,0,2.1
7,26,22,6,0,0,0,0
7,26,23,4.7,0,0,0,0.5
7,26,24,4,0,0,0,1
7,27,1,3,0,0,0,1.5
7,27,2,4.2,0,0,0,1.5
7,27,3,3.4,0,0,0,1.3
7,27,4,2.7,0,0,0,1.2
7,27,5,1.9,0,0,0,1
7,27,6,1.3,0,0,0,0.8
7,27,7,0.8,0,0,0,0.7
7,27,8,0.2,2,0,2,0.5
7,27,9,2.9,65,67,55,0.7
7,27,10,5.6,226,297,130,0.8
7,27,11,8.3,386,566,124,1
7,27,12,11,478,525,186,0
7,27,13,13,488,454,215,0
7,27,14,15,413,260,259,1
7,27,15,15,413,399,201,3.6
7,27,16,13,323,467,127,5.1
7,27,17,11.9,172,317,87,3.1
7,27,18,9,26,0,26,3.6
7,27,19,7.6,0,0,0,2.5
7,27,20,6.2,0,0,0,1.5
7,27,21,6,0,0,0,1
7,27,22,3,0,0,0,0
7,27,23,2,0,0,0,0.5
7,27,24,2.2,0,0,0,0.7
7,28,1,2.5,0,0,0,0.8
7,28,2,2.7,0,0,0,1
7,28,3,2.9,0,0,0,1.2
7,28,4,3.2,0,0,0,1.3
7,28,5,3.4,0,0,0,1.5
7,28,6,4,0,0,0,1
7,28,7,3,0,0,0,2.1
7,28,8,4,1,0,1,1
7,28,9,9,22,0,22,0
7,28,10,5,72,0,72,1.5
7,28,11,5.4,119,0,119,1
7,28,12,6,154,0,154,1.5
7,28,13,6.9,170,0,170,1.8
7,28,14,7.9,166,0,166,2.1
7,28,15,8,234,31,218,1
7,28,16,9,221,100,179,0.5
7,28,17,9.3,134,114,103,0.5
7,28,18,9,19,0,19,1
7,28,19,7,0,0,0,1.5
7,28,20,6.5,0,0,0,0.5
7,28,21,5.7,0,0,0,0.7
7,28,22,5,0,0,0,1
7,28,23,5,0,0,0,1
7,28,24,6,0,0,0,0.5
7,29,1,6,0,0,0,1.5
7,29,2,5.9,0,0,0,2.1
7,29,3,6,0,0,0,1
7,29,4,6,0,0,0,3.6
7,29,5,6.3,0,0,0,1.5
7,29,6,6.1,0,0,0,0.7
7,29,7,6,0,0,0,0
7,29,8,6,1,0,1,1
7,29,9,6,36,0,36,2.1
7,29,10,6.5,128,15,123,4.6
7,29,11,7,228,63,198,3.1
7,29,12,8,292,51,264,3.1
7,29,13,8,323,97,264,3.6
7,29,14,9,317,97,259,2.1
7,29,15,9,274,49,248,3.6
7,29,16,8.7,199,25,188,2.8
7,29,17,8.4,103,10,100,2.1
7,29,18,8,20,0,20,1
7,29,19,6.9,0,0,0,0.7
7,29,20,5.8,0,0,0,0.5
7,29,21,4,0,0,0,1
7,29,22,4.1,0,0,0,1
7,29,23,4.2,0,0,0,1
7,29,24,4,0,0,0,1
7,30,1,4,0,0,0,0
7,30,2,1,0,0,0,0
7,30,3,0,0,0,0,0
7,30,4,-1,0,0,0,1
7,30,5,-0.8,0,0,0,1
7,30,6,2,0,0,0,0
7,30,7,-0.1,0,0,0,1
7,30,8,-2.2,3,0,3,0
7,30,9,0.4,76,87,62,1.5
7,30,10,3,243,357,124,1
7,30,11,6.4,398,574,127,0
7,30,12,9,476,554,161,0.5
7,30,13,11.4,431,258,273,1
7,30,14,11.4,423,290,248,1
7,30,15,12,340,167,250,1.5
7,30,16,11.6,225,95,185,2.1
7,30,17,11.2,105,13,101,1.5
7,30,18,10,23,0,23,1
7,30,19,9,0,0,0,1
7,30,20,7.6,0,0,0,0.5
7,30,21,6,0,0,0,1
7,30,22,7,0,0,0,0.5
7,30,23,4.6,0,0,0,1
7,30,24,3,0,0,0,1.5
7,31,1,3,0,0,0,1
7,31,2,2.1,0,0,0,1
7,31,3,1,0,0,0,2.1
7,31,4,1,0,0,0,0.5
7,31,5,0.8,0,0,0,1
7,31,6,0.1,0,0,0,1
7,31,7,-0.5,0,0,0,0.5
7,31,8,-1.2,3,0,3,0.5
7,31,9,0,78,93,63,1
7,31,10,4,248,439,101,1
7,31,11,7.5,409,611,119,1
7,31,12,11,523,728,108,1.5
7,31,13,12,578,783,97,1.5
7,31,14,12.6,565,771,98,2.1
7,31,15,14,491,715,102,4.1
7,31,16,14,358,591,102,3.6
7,31,17,13.6,187,345,91,1.5
7,31,18,12,32,13,31,1.5
7,31,19,9.3,0,0,0,1.5
7,31,20,7.5,0,0,0,1
7,31,21,5.9,0,0,0,2.1
7,31,22,4.4,0,0,0,0.5
7,31,23,3.2,0,0,0,1.5
7,31,24,2.1,0,0,0,1.5
8,1,1,1,0,0,0,1
8,1,2,-0.2,0,0,0,1
8,1,3,-1.5,0,0,0,1
8,1,4,-2.9,0,0,0,0
8,1,5,-4.3,0,0,0,1
8,1,6,-5.8,0,0,0,0
8,1,7,-6,0,0,0,0.5
8,1,8,-4,3,0,3,0
8,1,9,-2,69,43,62,1
8,1,10,0,232,307,127,0.5
8,1,11,4.4,394,500,153,1
8,1,12,7,511,651,135,0.5
8,1,13,11,565,705,127,0.5
8,1,14,12.9,545,667,137,0.5
8,1,15,14,430,350,238,0.5
8,1,16,14,239,115,189,2
8,1,17,14.3,52,0,52,1
8,1,18,12,9,0,9,0.5
8,1,19,11,0,0,0,1.5
8,1,20,9.7,0,0,0,3.1
8,1,21,9,0,0,0,0.5
8,1,22,6,0,0,0,0.5
8,1,23,7.7,0,0,0,2.1
8,1,24,8,0,0,0,1
8,2,1,7.7,0,0,0,1
8,2,2,7.5,0,0,0,3.6
8,2,3,7,0,0,0,1.5
8,2,4,6,0,0,0,1
8,2,5,6.1,0,0,0,1.5
8,2,6,5,0,0,0,2
8,2,7,4,0,0,0,2
