,EWH,LV,MV,Tariff,EWH flex,PV
166,4.2,12.87300000000001,30.621625,p,4.2,7.349317141593347
167,3.1500000000000004,12.506000000000002,29.4810625,p,3.1500000000000004,5.0185918282297015
168,3.1500000000000004,13.893999999999995,28.3405,p,2.1,4.498945734402956
169,10.500000000000002,15.287999999999993,27.43825,p,9.450000000000001,2.071679478984543
170,13.650000000000004,17.254000000000005,26.535999999999998,p,12.600000000000003,0.7138301691903167
171,8.4,17.771999999999995,25.63375,p,7.35,-0.027000000000000007
172,3.1500000000000004,19.447,24.7315,p,3.1500000000000004,-0.027000000000000007
173,7.35,18.56899999999999,24.592625,p,4.2,-0.027000000000000007
174,8.4,20.183,24.45375,p,5.25,-0.0036000000000000003
175,7.35,20.985999999999986,24.314875,p,7.35,0.0
176,5.25,21.189000000000004,24.176,p,5.25,0.0
177,2.1,20.956,23.64125,p,2.1,0.0
178,3.1500000000000004,23.67899999999999,23.1065,p,3.1500000000000004,0.0
179,3.1500000000000004,21.428,22.57175,p,3.1500000000000004,0.0
180,4.2,21.713000000000005,22.036999999999995,p,4.2,0.0
181,2.1,19.502000000000006,19.7825625,p,2.1,0.0
182,1.05,18.177,17.528124999999996,p,1.05,0.0
183,1.05,17.982000000000006,15.273687499999998,p,1.05,0.0
184,1.05,18.079,13.01925,c,1.05,0.0
185,1.05,16.354000000000006,11.0801875,c,1.05,0.0
186,2.1,16.228999999999996,9.141125,c,2.1,0.0
187,2.1,15.804999999999998,7.2020625,c,2.1,0.0
188,0.0,15.744000000000002,5.263,c,0.0,0.0
189,1.05,16.062,6.446125,c,1.05,0.0
190,1.05,17.453999999999994,7.62925,c,1.05,0.0
191,0.0,15.804,8.812375,c,0.0,0.0
192,0.0,13.318,9.9955,c,0.0,0.0
193,0.0,12.923,8.795625,c,0.0,0.0
194,0.0,10.918000000000005,7.59575,v,0.0,0.0
195,0.0,9.997000000000002,6.395875,v,0.0,0.0
196,0.0,9.922,5.196000000000001,v,0.0,0.0
197,0.0,10.724,5.0170625,v,0.0,0.0
198,0.0,9.65,4.838125,v,0.0,0.0
199,0.0,9.782999999999994,4.6591875,v,0.0,0.0
200,0.0,9.261999999999997,4.48025,sv,0.0,0.0
201,0.0,8.514999999999995,4.5178125,sv,0.0,0.0
202,0.0,8.324000000000002,4.555375,sv,0.0,0.0
203,0.0,8.246999999999995,4.5929375000000014,sv,0.0,0.0
204,0.0,8.905999999999993,4.6305000000000005,sv,0.0,0.0
205,0.0,8.229999999999995,4.603625,sv,0.0,0.0
206,0.0,8.126999999999995,4.5767500000000005,sv,0.0,0.0
207,1.05,8.236999999999998,4.549875,sv,0.0,0.0
208,1.05,8.066999999999998,4.523,sv,0.0,0.0
209,0.0,7.75,4.501875,sv,0.0,0.0
210,0.0,7.777999999999994,4.4807500000000005,sv,0.0,0.0
211,1.05,7.170999999999999,4.459625,sv,0.0,0.0
212,2.1,7.327000000000001,4.4385,sv,0.0,0.0
213,1.05,7.820999999999999,4.4313125000000015,sv,0.0,0.0
214,1.05,6.961999999999998,4.424125,sv,0.0,0.0
215,2.1,7.286999999999997,4.4169375,sv,0.0,0.0
216,2.1,7.142999999999996,4.40975,v,0.0,0.0
217,2.1,7.178999999999995,4.9954375,v,0.0,0.0
218,1.05,7.460999999999995,5.581125,v,0.0,0.0
219,2.1,7.981999999999997,6.166812500000002,v,0.0,0.0
220,2.1,10.05,6.7525,v,0.0,0.0
221,3.1500000000000004,12.512000000000004,9.5040625,v,0.0,0.0
222,8.4,13.192000000000007,12.255624999999998,c,0.0,0.0
223,7.35,14.317999999999996,15.0071875,c,0.0,-0.021600000000000008
224,7.35,14.719999999999995,17.75875,c,0.0,0.31464012394999663
225,8.4,14.445000000000006,18.072625,c,0.0,2.0415557729353275
226,7.35,14.282999999999998,18.3865,c,0.0,4.17892326568004
227,6.3,15.578000000000005,18.700375,c,0.0,8.601441252680099
228,6.3,13.915999999999999,19.01425,c,1.05,9.176334454699088
229,7.35,14.308,21.039375,c,1.05,6.1287319766125306
230,5.25,14.731,23.0645,c,0.0,9.695526574243564
